clusters	lat	lon
1	41	140
1	42	139
1	42	140
1	42	141
1	42	142
2	42	143
2	42	144
1	43	140
1	43	141
3	43	142
3	43	143
2	43	144
2	43	145
3	44	141
3	44	142
3	44	143
2	44	144
2	44	145
3	45	141
3	45	142
4	30	130
4	30	131
4	31	129
4	31	130
4	31	131
5	32	129
4	32	130
4	32	131
6	32	132
5	33	129
5	33	130
5	33	131
6	33	132
7	33	133
7	33	134
8	33	135
8	33	136
5	34	129
5	34	130
9	34	131
9	34	132
9	34	133
7	34	134
8	34	135
8	34	136
10	34	137
10	34	138
10	34	139
9	35	132
9	35	133
11	35	134
11	35	135
12	35	136
12	35	137
10	35	138
10	35	139
13	35	140
12	36	136
12	36	137
14	36	138
13	36	139
13	36	140
12	37	136
12	37	137
14	37	138
14	37	139
13	37	140
13	37	141
14	38	138
14	38	139
15	38	140
15	38	141
16	39	139
15	39	140
15	39	141
16	40	139
16	40	140
17	40	141
17	41	141
